technology_mode,year,published,pollutant,bea_code,sector_name,value_kg,unit,activity_ratio_to_observed_2019,coefficient_coverage,signal,signal_reason,accounting_method
frozen,2019,1,CO2,111CA,Farms,27537431914.05376,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CH4,111CA,Farms,8649462220.87328,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,N2O,111CA,Farms,942592751.4187583,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PM25,111CA,Farms,0.0,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PM10,111CA,Farms,0.0,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,NOX,111CA,Farms,247714520.63845792,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,SO2,111CA,Farms,2557987.4217993254,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CO,111CA,Farms,375204529.3531782,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,VOC,111CA,Farms,382546342.528722,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,NH3_AIR,111CA,Farms,2713886725.403101,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,H2S,111CA,Farms,6292.676862235833,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,BENZ,111CA,Farms,1642319.962288192,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,TXYL,111CA,Farms,3149886.616650459,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,MEOH,111CA,Farms,11869315.504992338,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,FORM,111CA,Farms,6681933.513575411,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,STYR,111CA,Farms,44324.22523189878,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,ETO,111CA,Farms,0.004518359510891642,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,PHEN,111CA,Farms,1227211.170172423,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CYAN,111CA,Farms,0.0096437164353136,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,CL2,111CA,Farms,679.5369537020761,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
frozen,2019,1,HCL,111CA,Farms,9969.078242546206,kg,0.9028666201329102,complete,n.d.,nessuna soglia settoriale documentata; intensita costante,intensita_fisica_2012_riscalata_per_rapporto_di_attivita_reale_2019
